CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2008-06-15 11:50:19 ,2008-06-15 12:00:19 ,0,mean
2008-06-15 12:05:19 ,2008-06-15 12:15:19 ,0,mean
2008-06-15 12:20:19 ,2008-06-15 12:30:19 ,0,mean
2008-06-15 12:35:19 ,2008-06-15 12:45:19 ,0.02,mean
2008-06-15 12:50:19 ,2008-06-15 13:00:19 ,2.502,mean
2008-06-15 13:05:19 ,2008-06-15 13:15:19 ,15.98,mean
2008-06-15 13:20:19 ,2008-06-15 13:30:19 ,39.95,mean
2008-06-15 13:35:19 ,2008-06-15 13:45:19 ,78.02,mean
2008-06-15 13:50:19 ,2008-06-15 14:00:19 ,128,mean
2008-06-15 14:05:19 ,2008-06-15 14:15:19 ,193,mean
2008-06-15 14:20:19 ,2008-06-15 14:30:19 ,410,mean
2008-06-15 14:35:19 ,2008-06-15 14:45:19 ,515,mean
2008-06-15 14:50:19 ,2008-06-15 15:00:19 ,609.5,mean
2008-06-15 15:05:19 ,2008-06-15 15:15:19 ,603.6,mean
2008-06-15 15:20:19 ,2008-06-15 15:30:19 ,837,mean
2008-06-15 15:35:19 ,2008-06-15 15:45:19 ,945,mean
2008-06-15 15:50:19 ,2008-06-15 16:00:19 ,1052,mean
2008-06-15 16:05:19 ,2008-06-15 16:15:19 ,1157,mean
2008-06-15 16:20:19 ,2008-06-15 16:30:19 ,1222,mean
2008-06-15 16:35:19 ,2008-06-15 16:45:19 ,1341,mean
2008-06-15 16:50:19 ,2008-06-15 17:00:19 ,1431,mean
2008-06-15 17:05:19 ,2008-06-15 17:15:19 ,1517,mean
2008-06-15 17:20:19 ,2008-06-15 17:30:19 ,1594,mean
2008-06-15 17:35:19 ,2008-06-15 17:45:19 ,1672,mean
2008-06-15 17:50:19 ,2008-06-15 18:00:19 ,1738,mean
2008-06-15 18:05:19 ,2008-06-15 18:15:19 ,1792,mean
2008-06-15 18:20:19 ,2008-06-15 18:30:19 ,1868,mean
2008-06-15 18:35:19 ,2008-06-15 18:45:19 ,1931,mean
2008-06-15 18:50:19 ,2008-06-15 19:00:19 ,1938,mean
2008-06-15 19:05:19 ,2008-06-15 19:15:19 ,1976,mean
2008-06-15 19:20:19 ,2008-06-15 19:30:19 ,2005,mean
2008-06-15 19:35:19 ,2008-06-15 19:45:19 ,2024,mean
2008-06-15 19:50:19 ,2008-06-15 20:00:19 ,2031,mean
2008-06-15 20:05:19 ,2008-06-15 20:15:19 ,2041,mean
2008-06-15 20:20:19 ,2008-06-15 20:30:19 ,2045,mean
2008-06-15 20:35:19 ,2008-06-15 20:45:19 ,2040,mean
2008-06-15 20:50:19 ,2008-06-15 21:00:19 ,2029,mean
2008-06-15 21:05:19 ,2008-06-15 21:15:19 ,2013,mean
2008-06-15 21:20:19 ,2008-06-15 21:30:19 ,1996,mean
2008-06-15 21:35:19 ,2008-06-15 21:45:19 ,1968,mean
2008-06-15 21:50:19 ,2008-06-15 22:00:19 ,1464,mean
2008-06-15 22:05:19 ,2008-06-15 22:15:19 ,2045,mean
2008-06-15 22:20:19 ,2008-06-15 22:30:19 ,1902,mean
2008-06-15 22:35:19 ,2008-06-15 22:45:19 ,1427,mean
2008-06-15 22:50:19 ,2008-06-15 23:00:19 ,1602,mean
2008-06-15 23:05:19 ,2008-06-15 23:15:19 ,1572,mean
2008-06-15 23:20:19 ,2008-06-15 23:30:19 ,1578,mean
2008-06-15 23:35:19 ,2008-06-15 23:45:19 ,1119,mean
2008-06-15 23:50:19 ,2008-06-16 00:00:19 ,749.6,mean
2008-06-16 00:05:19 ,2008-06-16 00:15:19 ,673.3,mean
2008-06-16 00:20:19 ,2008-06-16 00:30:19 ,370.1,mean
2008-06-16 00:35:19 ,2008-06-16 00:45:19 ,812,mean
2008-06-16 00:50:19 ,2008-06-16 01:00:19 ,1086,mean
2008-06-16 01:05:19 ,2008-06-16 01:15:19 ,860,mean
2008-06-16 01:20:19 ,2008-06-16 01:30:19 ,342.9,mean
2008-06-16 01:35:19 ,2008-06-16 01:45:19 ,249.4,mean
2008-06-16 01:50:19 ,2008-06-16 02:00:19 ,378,mean
2008-06-16 02:05:19 ,2008-06-16 02:15:19 ,464.6,mean
2008-06-16 02:20:19 ,2008-06-16 02:30:19 ,335.6,mean
2008-06-16 02:35:19 ,2008-06-16 02:45:19 ,207.8,mean
2008-06-16 02:50:19 ,2008-06-16 03:00:19 ,123.1,mean
2008-06-16 03:05:19 ,2008-06-16 03:15:19 ,56.63,mean
2008-06-16 03:20:19 ,2008-06-16 03:30:19 ,19.23,mean
2008-06-16 03:35:19 ,2008-06-16 03:45:19 ,3.85,mean
2008-06-16 03:50:19 ,2008-06-16 04:00:19 ,1.109,mean
2008-06-16 04:05:19 ,2008-06-16 04:15:19 ,0.444,mean
2008-06-16 04:20:19 ,2008-06-16 04:30:19 ,0.282,mean
2008-06-16 04:35:19 ,2008-06-16 04:45:19 ,1.593,mean
2008-06-16 04:50:19 ,2008-06-16 05:00:19 ,4.115,mean
2008-06-16 05:05:19 ,2008-06-16 05:15:19 ,6.233,mean
2008-06-16 05:20:19 ,2008-06-16 05:30:19 ,8.61,mean
2008-06-16 05:35:19 ,2008-06-16 05:45:19 ,3.107,mean
2008-06-16 05:50:19 ,2008-06-16 06:00:19 ,4.136,mean
2008-06-16 06:05:19 ,2008-06-16 06:15:19 ,0.948,mean
2008-06-16 06:20:19 ,2008-06-16 06:30:19 ,0.02,mean
2008-06-16 06:35:19 ,2008-06-16 06:45:19 ,1.493,mean
2008-06-16 06:50:19 ,2008-06-16 07:00:19 ,2.784,mean
2008-06-16 07:05:19 ,2008-06-16 07:15:19 ,5.468,mean
2008-06-16 07:20:19 ,2008-06-16 07:30:19 ,6.82,mean
2008-06-16 07:35:19 ,2008-06-16 07:45:19 ,7.223,mean
2008-06-16 07:50:19 ,2008-06-16 08:00:19 ,6.679,mean
2008-06-17 00:35:19 ,2008-06-17 00:45:19 ,NaN,mean
2008-06-16 08:05:19 ,2008-06-16 08:15:19 ,NaN,mean
2008-06-16 08:20:19 ,2008-06-16 08:30:19 ,5.589,mean
2008-06-17 00:50:19 ,2008-06-17 01:00:19 ,5.691,mean
2008-06-16 08:35:19 ,2008-06-16 08:45:19 ,5.691,mean
2008-06-16 08:50:19 ,2008-06-16 09:00:19 ,6.559,mean
2008-06-16 09:05:19 ,2008-06-16 09:15:19 ,NaN,mean
2008-06-17 01:05:19 ,2008-06-17 01:15:19 ,NaN,mean
2008-06-16 09:20:19 ,2008-06-16 09:30:19 ,7.266,mean
2008-06-17 01:20:19 ,2008-06-17 01:30:19 ,7.266,mean
2008-06-16 09:35:19 ,2008-06-16 09:45:19 ,7.266,mean
2008-06-16 09:50:19 ,2008-06-16 10:00:19 ,7.104,mean
2008-06-16 10:05:19 ,2008-06-16 10:15:19 ,NaN,mean
2008-06-17 01:35:19 ,2008-06-17 01:45:19 ,NaN,mean
2008-06-16 10:20:19 ,2008-06-16 10:30:19 ,7.972,mean
2008-06-17 01:50:19 ,2008-06-17 02:00:19 ,8.5,mean
2008-06-16 10:35:19 ,2008-06-16 10:45:19 ,8.5,mean
2008-06-16 10:50:19 ,2008-06-16 11:00:19 ,8.11,mean
2008-06-16 11:05:19 ,2008-06-16 11:15:19 ,NaN,mean
2008-06-17 02:05:19 ,2008-06-17 02:15:19 ,NaN,mean
2008-06-16 11:20:19 ,2008-06-16 11:30:19 ,6.196,mean
2008-06-17 02:20:19 ,2008-06-17 02:30:19 ,5.914,mean
2008-06-16 11:35:19 ,2008-06-16 11:45:19 ,5.914,mean
2008-06-16 11:50:19 ,2008-06-16 12:00:19 ,5.449,mean
2008-06-16 12:05:19 ,2008-06-16 12:15:19 ,NaN,mean
2008-06-17 02:35:19 ,2008-06-17 02:45:19 ,NaN,mean
2008-06-16 12:20:19 ,2008-06-16 12:30:19 ,4.017,mean
2008-06-17 02:50:19 ,2008-06-17 03:00:19 ,3.35,mean
2008-06-16 12:35:19 ,2008-06-16 12:45:19 ,3.35,mean
