CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2008-06-03 22:20:00 ,2008-06-03 22:30:00 ,603.4,mean
2008-06-03 22:35:00 ,2008-06-03 22:45:00 ,366.6,mean
2008-06-03 22:50:00 ,2008-06-03 23:00:00 ,386.2,mean
2008-06-03 23:05:00 ,2008-06-03 23:15:00 ,408.1,mean
2008-06-03 23:35:00 ,2008-06-03 23:45:00 ,510.5,mean
2008-06-03 23:50:00 ,2008-06-04 00:00:00 ,487.5,mean
2008-06-04 00:20:00 ,2008-06-04 00:30:00 ,362.2,mean
2008-06-04 00:35:00 ,2008-06-04 00:45:00 ,254.1,mean
2008-06-04 00:50:00 ,2008-06-04 01:00:00 ,271.4,mean
2008-06-04 01:05:00 ,2008-06-04 01:15:00 ,205.8,mean
2008-06-04 01:35:00 ,2008-06-04 01:45:00 ,152.9,mean
2008-06-04 01:50:00 ,2008-06-04 02:00:00 ,125.3,mean
2008-06-04 02:20:00 ,2008-06-04 02:30:00 ,70.1,mean
2008-06-04 02:35:00 ,2008-06-04 02:45:00 ,60.95,mean
2008-06-04 02:50:00 ,2008-06-04 03:00:00 ,35.65,mean
2008-06-04 03:05:00 ,2008-06-04 03:15:00 ,28.75,mean
2008-06-04 03:35:00 ,2008-06-04 03:45:00 ,17.25,mean
2008-06-04 03:50:00 ,2008-06-04 04:00:00 ,17.25,mean
2008-06-04 04:20:00 ,2008-06-04 04:30:00 ,17.25,mean
2008-06-04 04:35:00 ,2008-06-04 04:45:00 ,17.25,mean
2008-06-04 04:50:00 ,2008-06-04 05:00:00 ,17.25,mean
2008-06-04 05:05:00 ,2008-06-04 05:15:00 ,17.25,mean
2008-06-04 05:35:00 ,2008-06-04 05:45:00 ,17.25,mean
2008-06-04 05:50:00 ,2008-06-04 06:00:00 ,14.95,mean
2008-06-04 06:20:00 ,2008-06-04 06:30:00 ,0,mean
2008-06-04 06:35:00 ,2008-06-04 06:45:00 ,0,mean
2008-06-04 06:50:00 ,2008-06-04 07:00:00 ,0,mean
2008-06-04 07:05:00 ,2008-06-04 07:15:00 ,0,mean
2008-06-04 07:20:00 ,2008-06-04 07:30:00 ,0,mean
2008-06-04 07:35:00 ,2008-06-04 07:45:00 ,0,mean
2008-06-04 07:50:00 ,2008-06-04 08:00:00 ,0,mean
2008-06-04 08:20:00 ,2008-06-04 08:30:00 ,0,mean
2008-06-04 08:35:00 ,2008-06-04 08:45:00 ,0,mean
2008-06-04 08:50:00 ,2008-06-04 09:00:00 ,0,mean
2008-06-04 09:05:00 ,2008-06-04 09:15:00 ,0,mean
2008-06-04 09:20:00 ,2008-06-04 09:30:00 ,0,mean
2008-06-04 09:35:00 ,2008-06-04 09:45:00 ,0,mean
2008-06-04 09:50:00 ,2008-06-04 10:00:00 ,0,mean
2008-06-04 10:05:00 ,2008-06-04 10:15:00 ,0,mean
2008-06-04 10:20:00 ,2008-06-04 10:30:00 ,0,mean
2008-06-04 10:35:00 ,2008-06-04 10:45:00 ,0,mean
2008-06-04 10:50:00 ,2008-06-04 11:00:00 ,0,mean
2008-06-04 11:05:00 ,2008-06-04 11:15:00 ,0,mean
2008-06-04 11:20:00 ,2008-06-04 11:30:00 ,0,mean
2008-06-04 11:35:00 ,2008-06-04 11:45:00 ,0,mean
2008-06-04 11:50:00 ,2008-06-04 12:00:00 ,0,mean
2008-06-04 12:20:00 ,2008-06-04 12:30:00 ,0,mean
2008-06-04 12:35:00 ,2008-06-04 12:45:00 ,0,mean
2008-06-04 12:50:00 ,2008-06-04 13:00:00 ,0,mean
2008-06-04 13:05:00 ,2008-06-04 13:15:00 ,12.65,mean
2008-06-04 13:35:00 ,2008-06-04 13:45:00 ,63.27,mean
2008-06-04 13:50:00 ,2008-06-04 14:00:00 ,70.2,mean
2008-06-04 14:05:00 ,2008-06-04 14:15:00 ,119.6,mean
2008-06-04 14:20:00 ,2008-06-04 14:30:00 ,215.1,mean
2008-06-04 14:35:00 ,2008-06-04 14:45:00 ,283,mean
2008-06-04 14:50:00 ,2008-06-04 15:00:00 ,388.8,mean
2008-06-04 15:05:00 ,2008-06-04 15:15:00 ,479.7,mean
2008-06-04 15:20:00 ,2008-06-04 15:30:00 ,482,mean
2008-06-04 15:35:00 ,2008-06-04 15:45:00 ,736,mean
2008-06-04 15:50:00 ,2008-06-04 16:00:00 ,873,mean
2008-06-04 16:20:00 ,2008-06-04 16:30:00 ,916,mean
2008-06-04 16:35:00 ,2008-06-04 16:45:00 ,1075,mean
2008-06-04 16:50:00 ,2008-06-04 17:00:00 ,1106,mean
2008-06-04 17:05:00 ,2008-06-04 17:15:00 ,1264,mean
2008-06-04 17:35:00 ,2008-06-04 17:45:00 ,1366,mean
2008-06-04 17:50:00 ,2008-06-04 18:00:00 ,1444,mean
2008-06-04 18:05:00 ,2008-06-04 18:15:00 ,1413,mean
2008-06-04 18:20:00 ,2008-06-04 18:30:00 ,1558,mean
2008-06-04 18:35:00 ,2008-06-04 18:45:00 ,1599,mean
2008-06-04 18:50:00 ,2008-06-04 19:00:00 ,1634,mean
2008-06-04 19:05:00 ,2008-06-04 19:15:00 ,1650,mean
2008-06-04 19:35:00 ,2008-06-04 19:45:00 ,1684,mean
2008-06-04 19:50:00 ,2008-06-04 20:00:00 ,1370,mean
2008-06-04 20:05:00 ,2008-06-04 20:15:00 ,1128,mean
2008-06-04 20:20:00 ,2008-06-04 20:30:00 ,1057,mean
2008-06-04 20:35:00 ,2008-06-04 20:45:00 ,1068,mean
2008-06-04 20:50:00 ,2008-06-04 21:00:00 ,990,mean
2008-06-04 21:05:00 ,2008-06-04 21:15:00 ,929,mean
2008-06-04 21:35:00 ,2008-06-04 21:45:00 ,986,mean
2008-06-04 21:50:00 ,2008-06-04 22:00:00 ,868,mean
2008-06-04 22:20:00 ,2008-06-04 22:30:00 ,677.2,mean
2008-06-04 22:35:00 ,2008-06-04 22:45:00 ,673.8,mean
2008-06-04 22:50:00 ,2008-06-04 23:00:00 ,548.5,mean
2008-06-04 23:05:00 ,2008-06-04 23:15:00 ,440.4,mean
2008-06-04 23:35:00 ,2008-06-04 23:45:00 ,401.3,mean
2008-06-04 23:50:00 ,2008-06-05 00:00:00 ,389.8,mean
2008-06-05 00:20:00 ,2008-06-05 00:30:00 ,332.3,mean
2008-06-05 00:35:00 ,2008-06-05 00:45:00 ,292.1,mean
2008-06-05 00:50:00 ,2008-06-05 01:00:00 ,369.1,mean
2008-06-05 01:05:00 ,2008-06-05 01:15:00 ,363.4,mean
2008-06-05 01:20:00 ,2008-06-05 01:30:00 ,407.1,mean
2008-06-05 01:35:00 ,2008-06-05 01:45:00 ,333.5,mean
2008-06-05 01:50:00 ,2008-06-05 02:00:00 ,277.1,mean
2008-06-05 02:20:00 ,2008-06-05 02:30:00 ,136.8,mean
2008-06-05 02:35:00 ,2008-06-05 02:45:00 ,77,mean
2008-06-05 02:50:00 ,2008-06-05 03:00:00 ,35.65,mean
2008-06-05 03:05:00 ,2008-06-05 03:15:00 ,13.8,mean
2008-06-05 03:35:00 ,2008-06-05 03:45:00 ,0,mean
2008-06-05 03:50:00 ,2008-06-05 04:00:00 ,0,mean
2008-06-05 04:20:00 ,2008-06-05 04:30:00 ,0,mean
2008-06-05 04:35:00 ,2008-06-05 04:45:00 ,0,mean
2008-06-05 04:50:00 ,2008-06-05 05:00:00 ,0,mean
2008-06-05 05:05:00 ,2008-06-05 05:15:00 ,0,mean
2008-06-05 05:35:00 ,2008-06-05 05:45:00 ,16.11,mean
2008-06-05 05:50:00 ,2008-06-05 06:00:00 ,17.26,mean
2008-06-05 06:05:00 ,2008-06-05 06:15:00 ,17.26,mean
2008-06-05 06:20:00 ,2008-06-05 06:30:00 ,17.26,mean
2008-06-05 06:35:00 ,2008-06-05 06:45:00 ,17.26,mean
2008-06-05 06:50:00 ,2008-06-05 07:00:00 ,17.26,mean
2008-06-05 07:05:00 ,2008-06-05 07:15:00 ,17.26,mean
2008-06-05 07:35:00 ,2008-06-05 07:45:00 ,17.26,mean
2008-06-05 07:50:00 ,2008-06-05 08:00:00 ,17.26,mean
